candidate_id,candidate_path,query,variant,operator_query,seo_frequency,returned_phrase,frequency_status,match_method,seo_region_id,seo_region,seo_period,seo_devices,observed_at,source_url
"tv-airplay-failure","/ne-rabotaet-airplay-na-televizore/","не работает airplay","broad","не работает airplay","424","не работает airplay","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-22T11:08:17.004Z","https://wordstat.yandex.ru/"
"tv-arc-no-sound","/net-zvuka-cherez-hdmi-arc/","нет звука hdmi arc","broad","нет звука hdmi arc","32","hdmi arc нет звука","measured","single_operator_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-22T11:08:17.004Z","https://wordstat.yandex.ru/"
"tv-cam-module","/cam-modul-dlya-televizora/","cam модуль для телевизора","broad","cam модуль для телевизора","1007","cam модуль для телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-22T11:08:17.004Z","https://wordstat.yandex.ru/"
"tv-channel-order","/kak-uporyadochit-kanaly-na-televizore/","как поменять каналы местами на телевизоре","broad","как поменять каналы местами на телевизоре","360","как поменять каналы местами на телевизоре","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-22T11:08:17.004Z","https://wordstat.yandex.ru/"
"tv-dlna","/kak-smotret-video-s-kompyutera-na-televizore-po-seti/","dlna телевизор","broad","dlna телевизор","","","ambiguous","multiple_results_without_match","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-22T11:08:17.004Z","https://wordstat.yandex.ru/"
"tv-hdmi-cec","/hdmi-cec-na-televizore/","hdmi cec","broad","hdmi cec","","","ambiguous","multiple_results_without_match","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-22T11:08:17.004Z","https://wordstat.yandex.ru/"
"tv-pin-reset","/zabyl-pin-kod-televizora/","забыл пин код телевизора","broad","забыл пин код телевизора","","","ambiguous","multiple_results_without_match","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-22T11:08:17.004Z","https://wordstat.yandex.ru/"
"tv-transport","/kak-perevozit-televizor/","как перевозить телевизор","broad","как перевозить телевизор","747","как перевозить телевизор","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-22T11:08:17.004Z","https://wordstat.yandex.ru/"
"tv-usb-recording","/kak-zapisat-peredachu-s-televizora-na-fleshku/","как записать с телевизора на флешку","broad","как записать с телевизора на флешку","","","ambiguous","multiple_results_without_match","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-22T11:08:17.004Z","https://wordstat.yandex.ru/"
"tv-usb-video-codec","/televizor-ne-vosproizvodit-video-s-fleshki/","телевизор не воспроизводит видео с флешки","broad","телевизор не воспроизводит видео с флешки","164","телевизор не воспроизводит видео с флешки","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-22T11:08:17.004Z","https://wordstat.yandex.ru/"
"tv-volume-level","/kak-vyrovnyat-gromkost-na-televizore/","выравнивание громкости телевизор","broad","выравнивание громкости телевизор","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-22T11:08:17.004Z","https://wordstat.yandex.ru/"
"tv-wifi-5ghz","/televizor-ne-vidit-wifi-5-ggc/","телевизор не видит wifi 5","broad","телевизор не видит wifi 5","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-22T11:08:17.004Z","https://wordstat.yandex.ru/"
