candidate_id,candidate_path,query,variant,operator_query,seo_frequency,returned_phrase,frequency_status,match_method,seo_region_id,seo_region,seo_period,seo_devices,observed_at,source_url
"dead-pixel-test","/proverka-televizora-na-bitye-pikseli/","проверка телевизора на битые пиксели","check-fixed-wordforms","""[!проверка !телевизора на !битые !пиксели]""","811","проверка телевизора на битые пиксели","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T16:31:02.297Z","https://wordstat.yandex.ru/"
"dead-pixel-test","/proverka-televizora-na-bitye-pikseli/","проверить телевизор на битые пиксели","verb-fixed-wordforms","""[!проверить !телевизор на !битые !пиксели]""","703","проверить телевизор на битые пиксели","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T16:31:02.297Z","https://wordstat.yandex.ru/"
"dead-pixel-test","/proverka-televizora-na-bitye-pikseli/","тест телевизора на битые пиксели","test-fixed-wordforms","""[!тест !телевизора на !битые !пиксели]""","287","тест телевизора на битые пиксели","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T16:31:02.297Z","https://wordstat.yandex.ru/"
"dead-pixel-test","/proverka-televizora-na-bitye-pikseli/","тест экрана телевизора","screen-test-fixed-wordforms","""[!тест !экрана !телевизора]""","148","тест экрана телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T16:31:02.297Z","https://wordstat.yandex.ru/"
"hdmi-cable-checker","/kakoy-hdmi-kabel-nuzhen/","как выбрать hdmi кабель для телевизора","choose-fixed-wordforms","""[как !выбрать hdmi !кабель для !телевизора]""","114","как выбрать hdmi кабель для телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T16:31:02.297Z","https://wordstat.yandex.ru/"
"hdmi-cable-checker","/kakoy-hdmi-kabel-nuzhen/","какой hdmi кабель нужен для телевизора","needed-fixed-wordforms","""[!какой hdmi !кабель !нужен для !телевизора]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T16:31:02.297Z","https://wordstat.yandex.ru/"
"hdmi-cable-checker","/kakoy-hdmi-kabel-nuzhen/","hdmi кабель для телевизора 4k 120 герц","4k120-fixed-wordforms","""[hdmi !кабель для !телевизора 4k 120 !герц]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T16:31:02.297Z","https://wordstat.yandex.ru/"
"hide-tv-wires","/kak-spryatat-provoda-ot-televizora/","как спрятать провода от телевизора на стене","wall-fixed-wordforms","""[как !спрятать !провода от !телевизора на !стене]""","828","как спрятать провода от телевизора на стене","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T16:31:02.297Z","https://wordstat.yandex.ru/"
"hide-tv-wires","/kak-spryatat-provoda-ot-televizora/","как скрыть провода от телевизора","hide-fixed-wordforms","""[как !скрыть !провода от !телевизора]""","231","как скрыть провода от телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T16:31:02.297Z","https://wordstat.yandex.ru/"
"hide-tv-wires","/kak-spryatat-provoda-ot-televizora/","кабель канал для телевизора на стене","raceway-fixed-wordforms","""[!кабель !канал для !телевизора на !стене]""","101","кабель канал для телевизора на стене","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T16:31:02.297Z","https://wordstat.yandex.ru/"
"hide-tv-wires","/kak-spryatat-provoda-ot-televizora/","как спрятать провода от телевизора без штробления","no-chase-fixed-wordforms","""[как !спрятать !провода от !телевизора без !штробления]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T16:31:02.297Z","https://wordstat.yandex.ru/"
"make-tv-smart","/kak-podklyuchit-smart-tv-pristavku-k-televizoru/","как подключить смарт тв приставку к телевизору","connect-box-fixed-wordforms","""[как !подключить !смарт !тв !приставку к !телевизору]""","1335","как подключить смарт тв приставку к телевизору","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T16:31:02.297Z","https://wordstat.yandex.ru/"
"make-tv-smart","/kak-podklyuchit-smart-tv-pristavku-k-televizoru/","как сделать смарт тв из обычного телевизора","make-smart-fixed-wordforms","""[как !сделать !смарт !тв из !обычного !телевизора]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T16:31:02.297Z","https://wordstat.yandex.ru/"
"make-tv-smart","/kak-podklyuchit-smart-tv-pristavku-k-televizoru/","смарт тв приставка для обычного телевизора","box-fixed-wordforms","""[!смарт !тв !приставка для !обычного !телевизора]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T16:31:02.297Z","https://wordstat.yandex.ru/"
"screen-cleaning","/chem-protirat-ekran-televizora/","чем протереть экран телевизора","wipe-perfective-fixed-wordforms","""[чем !протереть !экран !телевизора]""","2693","чем протереть экран телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T16:31:02.297Z","https://wordstat.yandex.ru/"
"screen-cleaning","/chem-protirat-ekran-televizora/","чем протирать экран телевизора","wipe-fixed-wordforms","""[чем !протирать !экран !телевизора]""","2693","чем протирать экран телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T16:31:02.297Z","https://wordstat.yandex.ru/"
"screen-cleaning","/chem-protirat-ekran-televizora/","как почистить экран телевизора","clean-fixed-wordforms","""[как !почистить !экран !телевизора]""","241","как почистить экран телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T16:31:02.297Z","https://wordstat.yandex.ru/"
"screen-cleaning","/chem-protirat-ekran-televizora/","как убрать разводы с экрана телевизора","streaks-fixed-wordforms","""[как !убрать !разводы с !экрана !телевизора]""","23","как убрать разводы с экрана телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T16:31:02.297Z","https://wordstat.yandex.ru/"
"soundbar-to-tv","/kak-podklyuchit-saundbar-k-televizoru/","как подключить саундбар к телевизору","connect-fixed-wordforms","""[как !подключить !саундбар к !телевизору]""","3731","как подключить саундбар к телевизору","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T16:31:02.297Z","https://wordstat.yandex.ru/"
"soundbar-to-tv","/kak-podklyuchit-saundbar-k-televizoru/","подключение саундбара к телевизору","connection-fixed-wordforms","""[!подключение !саундбара к !телевизору]""","935","подключение саундбара к телевизору","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T16:31:02.297Z","https://wordstat.yandex.ru/"
"soundbar-to-tv","/kak-podklyuchit-saundbar-k-televizoru/","телевизор не видит саундбар","not-seen-fixed-wordforms","""[!телевизор не !видит !саундбар]""","60","телевизор не видит саундбар","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T16:31:02.297Z","https://wordstat.yandex.ru/"
"tv-aspect-ratio","/izobrazhenie-ne-na-ves-ekran-televizora/","черные полосы на экране телевизора","black-bars-fixed-wordforms","""[!черные !полосы на !экране !телевизора]""","1090","черные полосы на экране телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T16:31:02.297Z","https://wordstat.yandex.ru/"
"tv-aspect-ratio","/izobrazhenie-ne-na-ves-ekran-televizora/","изображение не на весь экран телевизора","not-fullscreen-fixed-wordforms","""[!изображение не на весь !экран !телевизора]""","221","изображение не на весь экран телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T16:31:02.297Z","https://wordstat.yandex.ru/"
"tv-aspect-ratio","/izobrazhenie-ne-na-ves-ekran-televizora/","как растянуть изображение на весь экран телевизора","stretch-fixed-wordforms","""[как !растянуть !изображение на весь !экран !телевизора]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T16:31:02.297Z","https://wordstat.yandex.ru/"
