candidate_id,candidate_path,query,variant,operator_query,seo_frequency,returned_phrase,frequency_status,match_method,seo_region_id,seo_region,seo_period,seo_devices,observed_at,source_url
"digital-channels","/kak-nastroit-tsifrovye-kanaly-na-televizore/","как настроить телевизор на цифровые каналы","инструкция","""[как настроить телевизор на цифровые каналы]""","9135","как настроить телевизор на цифровые каналы","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T09:59:58.169Z","https://wordstat.yandex.ru/"
"digital-channels","/kak-nastroit-tsifrovye-kanaly-na-televizore/","настройка цифровых каналов на телевизоре","основной","""[настройка цифровых каналов на телевизоре]""","1809","настройка цифровых каналов на телевизоре","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T09:59:58.169Z","https://wordstat.yandex.ru/"
"digital-channels","/kak-nastroit-tsifrovye-kanaly-na-televizore/","как настроить телевизор на цифровые каналы через антенну","антенна","""[как настроить телевизор на цифровые каналы через антенну]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T09:59:58.169Z","https://wordstat.yandex.ru/"
"laptop-to-tv","/kak-podklyuchit-noutbuk-k-televizoru/","как подключить ноутбук к телевизору","основной","""[как подключить ноутбук к телевизору]""","14262","как подключить ноутбук к телевизору","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T09:59:58.169Z","https://wordstat.yandex.ru/"
"laptop-to-tv","/kak-podklyuchit-noutbuk-k-televizoru/","телевизор не видит ноутбук через hdmi","hdmi диагностика","""[телевизор не видит ноутбук через hdmi]""","381","телевизор не видит ноутбук через hdmi","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T09:59:58.169Z","https://wordstat.yandex.ru/"
"laptop-to-tv","/kak-podklyuchit-noutbuk-k-televizoru/","как подключить ноутбук к телевизору без проводов","беспроводное подключение","""[как подключить ноутбук к телевизору без проводов]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T09:59:58.169Z","https://wordstat.yandex.ru/"
"model-year-decoder","/kak-uznat-god-vypuska-televizora/","как узнать год выпуска телевизора","год выпуска","""[как узнать год выпуска телевизора]""","189","как узнать год выпуска телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T09:59:58.169Z","https://wordstat.yandex.ru/"
"model-year-decoder","/kak-uznat-god-vypuska-televizora/","расшифровка модели телевизора","модель","""[расшифровка модели телевизора]""","182","расшифровка моделей телевизоров","measured","single_operator_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T09:59:58.169Z","https://wordstat.yandex.ru/"
"model-year-decoder","/kak-uznat-god-vypuska-televizora/","расшифровка модели телевизора samsung","samsung","""[расшифровка модели телевизора samsung]""","26","расшифровка моделей телевизоров samsung","measured","single_operator_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T09:59:58.169Z","https://wordstat.yandex.ru/"
"no-signal","/televizor-pishet-net-signala/","телевизор нет сигнала","основной","""[телевизор нет сигнала]""","43922","телевизор нет сигнала","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T09:59:58.169Z","https://wordstat.yandex.ru/"
"no-signal","/televizor-pishet-net-signala/","телевизор нет сигнала что делать","решение","""[телевизор нет сигнала что делать]""","10250","телевизор нет сигнала что делать","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T09:59:58.169Z","https://wordstat.yandex.ru/"
"no-signal","/televizor-pishet-net-signala/","телевизор не видит hdmi","hdmi","""[телевизор не видит hdmi]""","2713","телевизор не видел hdmi","measured","single_operator_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T09:59:58.169Z","https://wordstat.yandex.ru/"
"phone-to-tv","/kak-podklyuchit-telefon-k-televizoru/","как подключить телефон к телевизору","основной","""[как подключить телефон к телевизору]""","72811","как подключить телефон к телевизору","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T09:59:58.169Z","https://wordstat.yandex.ru/"
"phone-to-tv","/kak-podklyuchit-telefon-k-televizoru/","как подключить айфон к телевизору","iphone","""[как подключить айфон к телевизору]""","16803","как подключить айфон к телевизору","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T09:59:58.169Z","https://wordstat.yandex.ru/"
"phone-to-tv","/kak-podklyuchit-telefon-k-televizoru/","как вывести экран телефона на телевизор","зеркалирование","""[как вывести экран телефона на телевизор]""","5823","как вывести экран телефона на телевизор","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T09:59:58.169Z","https://wordstat.yandex.ru/"
"picture-setup","/nastroyka-izobrazheniya-televizora/","настройка изображения телевизора","основной","""[настройка изображения телевизора]""","6046","настройка изображения телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T09:59:58.169Z","https://wordstat.yandex.ru/"
"picture-setup","/nastroyka-izobrazheniya-televizora/","калибровка телевизора","калибровка","""[калибровка телевизора]""","662","калибровка телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T09:59:58.169Z","https://wordstat.yandex.ru/"
