candidate_id,candidate_path,query,variant,operator_query,seo_frequency,returned_phrase,frequency_status,match_method,seo_region_id,seo_region,seo_period,seo_devices,observed_at,source_url
"height-55","/na-kakoy-vysote-veshat-televizor/","на какой высоте вешать телевизор 55 дюймов","55-inch","""[на какой высоте вешать телевизор 55 дюймов]""","411","на какой высоте вешать телевизор 55 дюймов","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"height-bedroom","/na-kakoy-vysote-veshat-televizor/","высота телевизора на стене в спальне","bedroom","""[высота телевизора на стене в спальне]""","1576","высота телевизора на стену в спальне","measured","single_operator_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"height-floor","/na-kakoy-vysote-veshat-televizor/","высота телевизора на стене от пола","floor","""[высота телевизора на стене от пола]""","2627","высота телевизора на стене от пола","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"height-general","/na-kakoy-vysote-veshat-televizor/","на какой высоте вешать телевизор","general","""[на какой высоте вешать телевизор]""","8251","на какой высоте вешать телевизор","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"height-kitchen","/na-kakoy-vysote-veshat-televizor/","высота телевизора на стене на кухне","kitchen","""[высота телевизора на стене на кухне]""","217","высота телевизора на стене на кухне","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"screws-bracket","/vinty-dlya-krepleniya-televizora/","болты для крепления телевизора к кронштейну","bracket","""[болты для крепления телевизора к кронштейну]""","1030","болты для крепления телевизора к кронштейну","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"screws-buy","/vinty-dlya-krepleniya-televizora/","купить болты для крепления телевизора","buy","""[купить болты для крепления телевизора]""","99","купить болты для крепления телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"screws-needed","/vinty-dlya-krepleniya-televizora/","какие болты нужны для крепления телевизора","needed","""[какие болты нужны для крепления телевизора]""","511","какие болты нужны для крепления телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"screws-size","/vinty-dlya-krepleniya-televizora/","размер болтов для крепления телевизора","size","""[размер болтов для крепления телевизора]""","267","размер болтов для крепления телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"screws-vesa","/vinty-dlya-krepleniya-televizora/","винты для крепления vesa","vesa","""[винты для крепления vesa]""","100","винты для крепления vesa","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"selection-choose","/kak-vybrat-kronshteyn-dlya-televizora/","как выбрать кронштейн для телевизора","choose","""[как выбрать кронштейн для телевизора]""","703","как выбрать кронштейн для телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"selection-compatible","/kak-vybrat-kronshteyn-dlya-televizora/","как узнать подойдет ли кронштейн к телевизору","compatible","""[как узнать подойдет ли кронштейн к телевизору]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"selection-match","/kak-vybrat-kronshteyn-dlya-televizora/","как подобрать кронштейн для телевизора","match","""[как подобрать кронштейн для телевизора]""","489","как подобрать кронштейн для телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"selection-universal","/kronshteyn-dlya-televizora-na-stenu/","универсальный кронштейн для телевизора на стену","universal","""[универсальный кронштейн для телевизора на стену]""","163","универсальный кронштейн для телевизора на стену","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"selection-vesa","/kak-uznat-vesa-televizora/","как подобрать кронштейн по vesa","vesa","""[как подобрать кронштейн по vesa]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"sockets-55","/rozetki-pod-televizor-na-stene/","розетки за телевизором 55 дюймов","55-inch","""[розетки за телевизором 55 дюймов]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"sockets-block","/rozetki-pod-televizor-na-stene/","блок розеток за телевизором","block","""[блок розеток за телевизором]""","10","блок розеток за телевизором","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"sockets-count","/rozetki-pod-televizor-na-stene/","сколько розеток нужно за телевизором","count","""[сколько розеток нужно за телевизором]""","32","сколько розеток нужно за телевизором","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"sockets-height","/rozetki-pod-televizor-na-stene/","высота розеток за телевизором","height","""[высота розеток за телевизором]""","211","высота розеток за телевизором","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"sockets-location","/rozetki-pod-televizor-na-stene/","расположение розеток за телевизором","location","""[расположение розеток за телевизором]""","53","расположение розеток за телевизором","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"vesa-200-buy","/vesa/200x200/","кронштейн vesa 200x200","200-buy","""[кронштейн vesa 200x200]""","481","кронштейн vesa 200x200","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"vesa-300-buy","/vesa/300x300/","кронштейн vesa 300x300","300-buy","""[кронштейн vesa 300x300]""","241","кронштейн vesa 300x300","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"vesa-400-buy","/vesa/400x400/","кронштейн vesa 400x400","400-buy","""[кронштейн vesa 400x400]""","226","кронштейн vesa 400x400","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"vesa-find","/kak-uznat-vesa-televizora/","как узнать vesa телевизора","find","""[как узнать vesa телевизора]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"vesa-meaning","/kak-uznat-vesa-televizora/","что такое vesa в телевизоре","meaning","""[что такое vesa в телевизоре]""","182","что такое vesa в телевизоре","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"wall-aerated-bracket","/kak-povesit-televizor-na-gazobeton/","кронштейн для телевизора на газобетон","bracket","""[кронштейн для телевизора на газобетон]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"wall-aerated-can","/kak-povesit-televizor-na-gazobeton/","можно ли повесить телевизор на газобетон","can","""[можно ли повесить телевизор на газобетон]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"wall-aerated-fastener","/kak-povesit-televizor-na-gazobeton/","крепеж для телевизора в газобетон","fastener","""[крепеж для телевизора в газобетон]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"wall-aerated-how","/kak-povesit-televizor-na-gazobeton/","как повесить телевизор на газобетон","how","""[как повесить телевизор на газобетон]""","44","как повесить телевизор на газобетон","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"wall-aerated-mount","/kak-povesit-televizor-na-gazobeton/","крепление телевизора к газобетону","mount","""[крепление телевизора к газобетону]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"wall-concrete-bracket","/kak-povesit-televizor-na-betonnuyu-stenu/","кронштейн для телевизора на бетонную стену","bracket","""[кронштейн для телевизора на бетонную стену]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"wall-concrete-dowel","/kak-povesit-televizor-na-betonnuyu-stenu/","дюбель для кронштейна телевизора","dowel","""[дюбель для кронштейна телевизора]""","423","дюбеля для кронштейна телевизора","measured","single_operator_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"wall-concrete-fastener","/kak-povesit-televizor-na-betonnuyu-stenu/","крепеж для телевизора к стене","fastener","""[крепеж для телевизора к стене]""","73","крепежи для телевизора к стене","measured","single_operator_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"wall-concrete-how","/kak-povesit-televizor-na-betonnuyu-stenu/","как повесить телевизор на бетонную стену","how","""[как повесить телевизор на бетонную стену]""","33","как повесить телевизор на бетонную стену","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"wall-concrete-mount","/kak-povesit-televizor-na-betonnuyu-stenu/","крепление телевизора к бетонной стене","mount","""[крепление телевизора к бетонной стене]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"wall-drywall-bracket","/kak-povesit-televizor-na-gipsokarton/","кронштейн для телевизора на гипсокартон","bracket","""[кронштейн для телевизора на гипсокартон]""","385","кронштейн для телевизора на гипсокартон","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"wall-drywall-can","/kak-povesit-televizor-na-gipsokarton/","можно ли повесить телевизор на гипсокартон","can","""[можно ли повесить телевизор на гипсокартон]""","118","можно ли повесить телевизор на гипсокартон","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"wall-drywall-fastener","/kak-povesit-televizor-na-gipsokarton/","крепеж для телевизора на гипсокартон","fastener","""[крепеж для телевизора на гипсокартон]""","20","крепеж для телевизора на гипсокартон","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"wall-drywall-how","/kak-povesit-televizor-na-gipsokarton/","как повесить телевизор на гипсокартон","how","""[как повесить телевизор на гипсокартон]""","495","как повесить телевизор на гипсокартон","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"wall-drywall-mount","/kak-povesit-televizor-na-gipsokarton/","крепление телевизора на гипсокартон","mount","""[крепление телевизора на гипсокартон]""","144","крепление телевизора на гипсокартон","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"wires-box","/kabel-kanal-dlya-televizora/","короб для проводов телевизора","box","""[короб для проводов телевизора]""","82","короб для проводов телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"wires-cable-channel","/kabel-kanal-dlya-televizora/","кабель канал для телевизора на стене","cable-channel","""[кабель канал для телевизора на стене]""","98","кабель канал для телевизора на стену","measured","single_operator_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"wires-hide-hanging","/kak-spryatat-provoda-ot-televizora/","как спрятать провода от висящего телевизора","hanging","""[как спрятать провода от висящего телевизора]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"wires-hide-no-chase","/kak-spryatat-provoda-ot-televizora/","как спрятать провода от телевизора без штробления","hide-no-chase","""[как спрятать провода от телевизора без штробления]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
"wires-hide-wall","/kak-spryatat-provoda-ot-televizora/","как спрятать провода от телевизора на стене","hide-wall","""[как спрятать провода от телевизора на стене]""","819","как спрятать провода от телевизора на стене","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:32:59.418Z","https://wordstat.yandex.ru/"
