query,scope,frequency,frequency_conflict,cluster,canonical,decision,seeds,operator_queries
"тв онлайн","broad","3595802","false","Требует ручной оценки","","review","скорость интернета телевизор","скорость интернета телевизор"
"тв онлайн прямой эфир","broad","1346817","false","Требует ручной оценки","","review","скорость интернета телевизор","скорость интернета телевизор"
"ты онлайн","ordered_phrase","706512","false","Требует ручной оценки","","review","как смотреть телевизор без интернета","""[как смотреть телевизор без интернета]"""
"та онлайн","ordered_phrase","466895","false","Требует ручной оценки","","review","как смотреть телевизор без интернета","""[как смотреть телевизор без интернета]"""
"телеканалы онлайн","broad","336329","false","Требует ручной оценки","","review","телевизор интернет | скорость интернета телевизор","телевизор интернет | скорость интернета телевизор"
"диагональ телевизора","broad","256804","false","Требует ручной оценки","","review","телевизор размеры","телевизор размеры"
"пульт для телевизора","broad","224747","false","Требует ручной оценки","","review","телевизор пульт","телевизор пульт"
"дюйм сколько см","ordered_phrase","186730","false","Требует ручной оценки","","review","размеры телевизоров в см","""[размеры телевизоров в см]"""
"т онлайн","ordered_phrase","146916","false","Требует ручной оценки","","review","как смотреть телевизор без интернета","""[как смотреть телевизор без интернета]"""
"размеры телевизоров","broad","138842","false","Размеры экрана","/razmery-televizora-po-diagonali/","candidate_mapping_review_required","телевизор размеры","телевизор размеры"
"настройка телевизора","ordered_phrase","118341","false","Требует ручной оценки","","review","как настроить универсальный пульт к телевизору","""[как настроить универсальный пульт к телевизору]"""
"диагональ в см","ordered_phrase","101457","false","Требует ручной оценки","","review","размеры телевизоров в см","""[размеры телевизоров в см]"""
"тв онлайн прямой эфир сейчас","broad","95750","false","Требует ручной оценки","","review","скорость интернета телевизор","скорость интернета телевизор"
"ю онлайн","ordered_phrase","91581","false","Требует ручной оценки","","review","как смотреть телевизор без интернета","""[как смотреть телевизор без интернета]"""
"размер л","ordered_phrase","89878","false","Требует ручной оценки","","review","размеры телевизоров в см","""[размеры телевизоров в см]"""
"подключить тв","broad","79100","false","Требует ручной оценки","","review","телевизор hdmi","телевизор hdmi"
"ширина телевизора","broad","60150","false","Требует ручной оценки","","review","телевизор размеры","телевизор размеры"
"телик","broad","58579","false","Требует ручной оценки","","review","телевизор интернет","телевизор интернет"
