candidate_id,candidate_path,query,variant,operator_query,seo_frequency,returned_phrase,frequency_status,match_method,seo_region_id,seo_region,seo_period,seo_devices,observed_at,source_url
"bandwidth","/kak-podklyuchit-televizor-k-internetu/","какая скорость интернета нужна для телевизора","phrase_ordered","""[какая скорость интернета нужна для телевизора]""","182","какая скорость интернета нужна для телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-19T08:11:22.289Z","https://wordstat.yandex.ru/"
"dimensions","/razmery-televizora-po-diagonali/","размеры телевизоров в см","phrase_ordered","""[размеры телевизоров в см]""","20175","размеры телевизоров в см","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-19T08:11:22.289Z","https://wordstat.yandex.ru/"
"offline-tv","/kak-smotret-televizor-bez-interneta/","телевизор без интернета","phrase_ordered","""[телевизор без интернета]""","18237","телевизор без интернета","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-19T08:11:22.289Z","https://wordstat.yandex.ru/"
"offline-tv","/kak-smotret-televizor-bez-interneta/","как смотреть телевизор без интернета","phrase_ordered","""[как смотреть телевизор без интернета]""","1062","как смотреть телевизор без интернета","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-19T08:11:22.289Z","https://wordstat.yandex.ru/"
"offline-tv","/kak-smotret-televizor-bez-interneta/","работает ли телевизор без интернета","phrase_ordered","""[работает ли телевизор без интернета]""","555","работает ли телевизор без интернета","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-19T08:11:22.289Z","https://wordstat.yandex.ru/"
"phone-hotspot","/kak-razdat-internet-s-telefona-na-televizor/","как раздать интернет на телевизор","phrase_ordered","""[как раздать интернет на телевизор]""","5559","как раздать интернет на телевизор","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-19T08:11:22.289Z","https://wordstat.yandex.ru/"
"phone-hotspot","/kak-razdat-internet-s-telefona-na-televizor/","раздать интернет с телефона на телевизор","phrase_ordered","""[раздать интернет с телефона на телевизор]""","5200","раздать интернет с телефона на телевизор","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-19T08:11:22.289Z","https://wordstat.yandex.ru/"
"phone-hotspot","/kak-razdat-internet-s-telefona-na-televizor/","раздать интернет с айфона на телевизор","phrase_ordered","""[раздать интернет с айфона на телевизор]""","838","раздать интернет с айфона на телевизор","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-19T08:11:22.289Z","https://wordstat.yandex.ru/"
"screws","/vinty-dlya-krepleniya-televizora/","болты для крепления телевизора","phrase_ordered","""[болты для крепления телевизора]""","3400","болты для крепления телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-19T08:11:22.289Z","https://wordstat.yandex.ru/"
"universal-remote","/kak-nastroit-universalnyy-pult-dlya-televizora/","как настроить универсальный пульт к телевизору","phrase_ordered","""[как настроить универсальный пульт к телевизору]""","3168","как настроить универсальный пульт к телевизору","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-19T08:11:22.289Z","https://wordstat.yandex.ru/"
"universal-remote","/kak-nastroit-universalnyy-pult-dlya-televizora/","настройка универсального пульта для телевизора","phrase_ordered","""[настройка универсального пульта для телевизора]""","920","настройка универсального пульта для телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-19T08:11:22.289Z","https://wordstat.yandex.ru/"
"universal-remote","/kak-nastroit-universalnyy-pult-dlya-televizora/","как подобрать пульт к телевизору","phrase_ordered","""[как подобрать пульт к телевизору]""","755","как подобрать пульт к телевизору","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-19T08:11:22.289Z","https://wordstat.yandex.ru/"
